label	count
aboard	0
about	0
above	0
across	0
after	0
against	0
along	0
amid	0
among	0
around	0
as	0
at	0
before	0
behind	0
below	0
beneath	0
beside	0
between	0
beyond	0
but	0
by	0
considering	0
despite	0
down	0
during	0
except	0
excluding	0
following	0
for	0
from	0
in	0
inside	0
into	0
like	0
near	0
of	0
off	0
on	0
onto	0
outside	0
over	0
past	0
regarding	0
since	0
than	0
though	0
to	0
toward	0
under	0
underneath	0
until	0
up	0
upon	0
versus	0
with	0
within	0
without	0
