ID,title,counted,lastRead
240598,The Backyard Bird Chronicles,1,0
240599,The Joy Luck Club,0,0
240600,'The Bonesetter''s Daughter',0,0
240601,Our Missing Hearts,0,0
240602,Little Fires Everywhere,0,0
240603,Big Little Lies,0,0
240604,Apples Never Fall,0,0
240605,Nine Perfect Strangers,0,0
240606,Truly Madly Guilty,0,0
240607,'The Husband''s Secret',0,0
240608,The Last Anniversary,0,0
240609,Three Wishes,0,0
240610,Whose Body,0,0
240611,Heavenly Pleasures,0,0
240612,Forbidden Fruit,0,0
240613,The Lady with the Gun Asks the,0,0
240614,Earthly Delights,1,0
240615,Warned in Wisconsin,1,0
240616,20th Victim,1,0
240617,The Exchange,1,0
240618,The Paris Mysteries,1,0
240619,Silent Prey,1,0
240620,Every Dead Thing,1,0
240621,The Paradise Problem,1,0
240622,This Summer Will Be Different,1,0
240623,Hidden Star,1,0
240624,Birthright,1,0
240625,Outlander Prequel,1,0
240626,The Sins of the Fathers,1,0
240627,Dying Light,1,0
240628,Night Passage,1,0
240629,Out of Africa,1,0
240630,'Devil''s Food',1,0
240631,Cooking the Books,1,0
240632,The Spotted Dog,1,0
240633,The Situation Room,1,0
240634,Rules of Prey,1,0
240635,Eyes Of Prey,1,0
240636,Trick or Treat,1,0
240637,Takedown Twenty,1,0
240638,When the Bough Breaks,0,0
240639,Top Secret Twenty-One,0,0
240640,The Friday Afternoon Club,0,0
240641,First Frost,1,0
240642,Southern Man,1,0
240643,One Perfect Couple,1,0
240644,Act of Defiance,1,0
240645,Think Twice,1,0
240646,Tricky Twenty-Two,0,0
